Reviewer_Nationality;Power_Distance
Abkhazia Georgia;80
Afghanistan;55
Afghanistan;55
Africa East;64
Africa West;77
Albania;90
Algeria;70
American Samoa;40
Andorra;50
Angola;83
Anguilla;35
Antarctica;0
Antigua Barbuda;65
Arab countries;80
Argentina;49
Armenia;85
Aruba;65
Australia;38
Austria;11
Azerbaijan;85
Bahamas;40
Bahrain;90
Bangladesh;80
Barbados;65
Belarus;95
Belgium;65
Belize;85
Benin;80
Bermuda;35
Bhutan;94
Bolivia;78
Bosnia;90
Bosnia and Herzegovina;90
Botswana;60
Brazil;69
British Virgin Islands;65
Brunei;100
Bulgaria;70
Burkina;70
Burkina Faso;70
Burma (Myanmar);90
Burundi;70
Cambodia;80
Cameroon;80
Canada;39
Canada French;54
Canary Islands;57
Cape Verde;75
Caribbean Netherlands;38
Cayman Islands;65
Central Africa Republic;80
Central African Republic;80
Ceuta and Melilla;57
Chad;80
Channel Islands;35
Chile;63
China;80
Christmas Island;38
Cocos (Keeling) Islands;38
Cocos K I;38
Colombia;67
Comoros;82
Congo ;80
Congo - Brazzaville;80
Congo - Kinshasa;80
Cook Islands;22
Costa Rica;35
Crimea;93
Croatia;73
Cura ao;80
Curaçao;80
Cyprus;60
Czech Rep;57
Czech Republic;57
Democratic Republic of the Congo;80
Denmark;18
Djibouti;70
Dominica;80
Dominican Rep;65
Dominican Republic;65
East Timor;78
Ecuador;78
Egypt;70
El Salvador;66
Equatorial Guinea;80
Eritrea;70
Estonia;40
Ethiopia;70
Falkland Islands;35
Falkland Islands Malvinas;35
Faroe Islands;18
Fiji;78
Finland;33
France;68
French Guiana;85
French Polynesia;68
Gabon;80
Gambia;70
Georgia;80
Germany;35
Ghana;80
Gibraltar;35
Great Britain;35
Greece;60
Greenland;20
Grenada;65
Guadeloupe;65
Guam;40
Guatemala;95
Guinea;70
Guinea-Bissau;70
Guyana;85
Haiti;80
Honduras;80
Hong Kong;68
Hungary;46
Iceland;30
India;77
Indonesia;78
Iran;58
Iraq;97
Ireland;28
Isle of Man;35
Israel;13
Italy;50
Ivory Coast;80
Jamaica;45
Japan;54
Jersey;35
Jordan;70
Kazakhstan;90
Kenya;70
Kiribati;78
Korea South;60
Kosovo;80
Kuwait;90
Kyrgyz Rep;70
Kyrgyzstan;70
Laos;80
Latvia;44
Lebanon;75
Lesotho;70
Liberia;80
Libya;80
Liechtenstein;34
Lithuania;42
Luxembourg;40
Macau;80
Macau SAR China;80
Macedonia;90
Macedonia Rep;90
Madagascar;80
Malawi;70
Malaysia;104
Maldives;70
Mali;80
Malta;56
Marshall Islands;40
Martinique;68
Mauritania;70
Mauritius;80
Mayotte;80
Mexico;81
Micronesia;40
Moldova;90
Monaco;68
Mongolia;70
Montenegro;88
Montserrat;35
Morocco;70
Mozambique;85
Myanmar;90
Namibia;65
Nauru;40
Nepal;65
Netherlands;38
New Caledonia;68
New Zealand;22
Nicaragua;80
Niger;80
Nigeria;80
Niue;78
Norfolk Island;38
Northern Mariana Islands;40
Norway;31
Oman;90
Pakistan;55
Palau;82
Palestinian Territories;80
Palestinian Territory;80
Panama;95
Papua New Guinea;40
Paraguay;61
Peru;64
Philippines;94
Pitcairn Islands;35
Poland;68
Portugal;63
Puerto Rico;70
Qatar;90
Reunion;68
Réunion;68
Romania;90
Russia;93
Rwanda;70
Saint Barthélemy;65
Saint Barts;67
Saint Helena;47
Saint Kitts and Nevis;65
Saint Lucia;65
Saint Martin;65
Saint Pierre and Miquelon;65
Saint Pierre and Miquelon;65
Saint Vincent and the Grenadines;65
Saint Vincent Grenadines;65
Samoa;78
San Marino;50
São Tomé and Príncipe;80
Saudi Arabia;95
Senegal;70
Serbia;86
Seychelles;80
Sierra Leone;80
Singapore;74
Sint Maarten;38
Slovak Rep;104
Slovakia ;100
Slovenia;71
Solomon Islands;40
Somalia;70
South Africa;49
South Africa white;49
South Korea;60
South Sudan;80
Spain;57
Sri Lanka;70
St Maarten;38
Sudan;80
Suriname;85
Svalbard and Jan Mayen;31
Svalbard Jan Mayen;31
Swaziland;70
Sweden;31
Switzerland;34
Syria;80
Taiwan;58
Tajikistan;90
Tanzania;70
Thailand;64
Togo;80
Tokelau;78
Tonga;78
Trinidad and Tobago;47
Tunisia;70
Turkey;66
Turkmenistan;80
Turks and Caicos Islands;35
Turks Caicos Islands;35
Tuvalu;78
U S Virgin Islands;40
U.S. Virgin Islands;40
U.S.A.;40
Uganda;70
Ukraine;92
United Arab Emirates;90
United Kingdom;35
United States Minor Outlying Islands;40
United States of America;40
Uruguay;61
Uzbekistan;90
Vanuatu;78
Vatican City;50
Venezuela;81
Vietnam;70
Wallis and Futuna;38
Western Sahara;70
Yemen;70
Zambia;60
Zimbabwe;70
Guernsey;35,00
St Pierre and Miquelon;39,00
Bonaire St Eustatius and Saba;65,00
;
;
